id,interval_start,interval_end,consumption,mpan,meter_serial
148,"2025-02-07 20:00:00","2025-02-07 21:00:00",7.031,1900015119183,19L3542545
149,"2025-02-07 19:00:00","2025-02-07 20:00:00",1.841,1900015119183,19L3542545
150,"2025-02-07 18:00:00","2025-02-07 19:00:00",1.611,1900015119183,19L3542545
151,"2025-02-07 17:00:00","2025-02-07 18:00:00",0.799,1900015119183,19L3542545
152,"2025-02-07 16:00:00","2025-02-07 17:00:00",0.693,1900015119183,19L3542545
153,"2025-02-07 15:00:00","2025-02-07 16:00:00",0.791,1900015119183,19L3542545
154,"2025-02-07 14:00:00","2025-02-07 15:00:00",0.561,1900015119183,19L3542545
155,"2025-02-07 13:00:00","2025-02-07 14:00:00",0.784,1900015119183,19L3542545
156,"2025-02-07 12:00:00","2025-02-07 13:00:00",0.574,1900015119183,19L3542545
157,"2025-02-07 11:00:00","2025-02-07 12:00:00",0.656,1900015119183,19L3542545
158,"2025-02-07 10:00:00","2025-02-07 11:00:00",0.629,1900015119183,19L3542545
159,"2025-02-07 09:00:00","2025-02-07 10:00:00",0.626,1900015119183,19L3542545
160,"2025-02-07 08:00:00","2025-02-07 09:00:00",0.012,1900015119183,19L3542545
161,"2025-02-07 07:00:00","2025-02-07 08:00:00",0.008,1900015119183,19L3542545
162,"2025-02-07 06:00:00","2025-02-07 07:00:00",0.006,1900015119183,19L3542545
163,"2025-02-07 05:00:00","2025-02-07 06:00:00",2.547,1900015119183,19L3542545
164,"2025-02-07 04:00:00","2025-02-07 05:00:00",0.469,1900015119183,19L3542545
165,"2025-02-07 03:00:00","2025-02-07 04:00:00",0.468,1900015119183,19L3542545
166,"2025-02-07 02:00:00","2025-02-07 03:00:00",0.483,1900015119183,19L3542545
167,"2025-02-07 01:00:00","2025-02-07 02:00:00",6.662,1900015119183,19L3542545
168,"2025-02-07 00:00:00","2025-02-07 01:00:00",10.079,1900015119183,19L3542545
169,"2025-02-06 23:00:00","2025-02-07 00:00:00",0.105,1900015119183,19L3542545
170,"2025-02-06 22:00:00","2025-02-06 23:00:00",0.013,1900015119183,19L3542545
171,"2025-02-06 21:00:00","2025-02-06 22:00:00",0.014,1900015119183,19L3542545
172,"2025-02-06 20:00:00","2025-02-06 21:00:00",0.01,1900015119183,19L3542545
173,"2025-02-06 19:00:00","2025-02-06 20:00:00",0.013,1900015119183,19L3542545
174,"2025-02-06 18:00:00","2025-02-06 19:00:00",0.013,1900015119183,19L3542545
175,"2025-02-06 17:00:00","2025-02-06 18:00:00",0.013,1900015119183,19L3542545
176,"2025-02-06 16:00:00","2025-02-06 17:00:00",0.013,1900015119183,19L3542545
177,"2025-02-06 15:00:00","2025-02-06 16:00:00",0.005,1900015119183,19L3542545
178,"2025-02-06 14:00:00","2025-02-06 15:00:00",0.009,1900015119183,19L3542545
179,"2025-02-06 13:00:00","2025-02-06 14:00:00",0.007,1900015119183,19L3542545
180,"2025-02-06 12:00:00","2025-02-06 13:00:00",0.011,1900015119183,19L3542545
181,"2025-02-06 11:00:00","2025-02-06 12:00:00",0.003,1900015119183,19L3542545
182,"2025-02-06 10:00:00","2025-02-06 11:00:00",0.009,1900015119183,19L3542545
183,"2025-02-06 09:00:00","2025-02-06 10:00:00",0.011,1900015119183,19L3542545
184,"2025-02-06 08:00:00","2025-02-06 09:00:00",0.014,1900015119183,19L3542545
185,"2025-02-06 07:00:00","2025-02-06 08:00:00",0.011,1900015119183,19L3542545
186,"2025-02-06 06:00:00","2025-02-06 07:00:00",0.01,1900015119183,19L3542545
187,"2025-02-06 05:00:00","2025-02-06 06:00:00",0.89,1900015119183,19L3542545
188,"2025-02-06 04:00:00","2025-02-06 05:00:00",6.937,1900015119183,19L3542545
189,"2025-02-06 03:00:00","2025-02-06 04:00:00",4.014,1900015119183,19L3542545
190,"2025-02-06 02:00:00","2025-02-06 03:00:00",0.006,1900015119183,19L3542545
191,"2025-02-06 01:00:00","2025-02-06 02:00:00",0.005,1900015119183,19L3542545
192,"2025-02-06 00:00:00","2025-02-06 01:00:00",0.005,1900015119183,19L3542545
193,"2025-02-05 23:00:00","2025-02-06 00:00:00",0.004,1900015119183,19L3542545
194,"2025-02-05 22:00:00","2025-02-05 23:00:00",0.005,1900015119183,19L3542545
195,"2025-02-05 21:00:00","2025-02-05 22:00:00",0.006,1900015119183,19L3542545
196,"2025-02-05 20:00:00","2025-02-05 21:00:00",0.005,1900015119183,19L3542545
197,"2025-02-05 19:00:00","2025-02-05 20:00:00",0.008,1900015119183,19L3542545
198,"2025-02-05 18:00:00","2025-02-05 19:00:00",0.011,1900015119183,19L3542545
199,"2025-02-05 17:00:00","2025-02-05 18:00:00",0.008,1900015119183,19L3542545
200,"2025-02-05 16:00:00","2025-02-05 17:00:00",0.005,1900015119183,19L3542545
201,"2025-02-05 15:00:00","2025-02-05 16:00:00",0.005,1900015119183,19L3542545
202,"2025-02-05 14:00:00","2025-02-05 15:00:00",0.006,1900015119183,19L3542545
203,"2025-02-05 13:00:00","2025-02-05 14:00:00",0.004,1900015119183,19L3542545
204,"2025-02-05 12:00:00","2025-02-05 13:00:00",0.0,1900015119183,19L3542545
205,"2025-02-05 11:00:00","2025-02-05 12:00:00",0.002,1900015119183,19L3542545
206,"2025-02-05 10:00:00","2025-02-05 11:00:00",0.003,1900015119183,19L3542545
207,"2025-02-05 09:00:00","2025-02-05 10:00:00",0.003,1900015119183,19L3542545
208,"2025-02-05 08:00:00","2025-02-05 09:00:00",0.003,1900015119183,19L3542545
209,"2025-02-05 07:00:00","2025-02-05 08:00:00",0.006,1900015119183,19L3542545
210,"2025-02-05 06:00:00","2025-02-05 07:00:00",0.007,1900015119183,19L3542545
211,"2025-02-05 05:00:00","2025-02-05 06:00:00",0.24,1900015119183,19L3542545
212,"2025-02-05 04:00:00","2025-02-05 05:00:00",0.452,1900015119183,19L3542545
213,"2025-02-05 03:00:00","2025-02-05 04:00:00",0.432,1900015119183,19L3542545
214,"2025-02-05 02:00:00","2025-02-05 03:00:00",0.423,1900015119183,19L3542545
215,"2025-02-05 01:00:00","2025-02-05 02:00:00",3.121,1900015119183,19L3542545
216,"2025-02-05 00:00:00","2025-02-05 01:00:00",7.685,1900015119183,19L3542545
217,"2025-02-04 23:00:00","2025-02-05 00:00:00",5.482,1900015119183,19L3542545
218,"2025-02-04 22:00:00","2025-02-04 23:00:00",14.34,1900015119183,19L3542545
219,"2025-02-04 21:00:00","2025-02-04 22:00:00",3.927,1900015119183,19L3542545
220,"2025-02-04 20:00:00","2025-02-04 21:00:00",0.002,1900015119183,19L3542545
221,"2025-02-04 19:00:00","2025-02-04 20:00:00",0.001,1900015119183,19L3542545
222,"2025-02-04 18:00:00","2025-02-04 19:00:00",0.001,1900015119183,19L3542545
223,"2025-02-04 17:00:00","2025-02-04 18:00:00",0.001,1900015119183,19L3542545
224,"2025-02-04 16:00:00","2025-02-04 17:00:00",0.002,1900015119183,19L3542545
225,"2025-02-04 15:00:00","2025-02-04 16:00:00",0.001,1900015119183,19L3542545
226,"2025-02-04 14:00:00","2025-02-04 15:00:00",0.0,1900015119183,19L3542545
227,"2025-02-04 13:00:00","2025-02-04 14:00:00",0.001,1900015119183,19L3542545
228,"2025-02-04 12:00:00","2025-02-04 13:00:00",0.0,1900015119183,19L3542545
229,"2025-02-04 11:00:00","2025-02-04 12:00:00",0.001,1900015119183,19L3542545
230,"2025-02-04 10:00:00","2025-02-04 11:00:00",0.0,1900015119183,19L3542545
231,"2025-02-04 09:00:00","2025-02-04 10:00:00",0.0,1900015119183,19L3542545
232,"2025-02-04 08:00:00","2025-02-04 09:00:00",0.001,1900015119183,19L3542545
233,"2025-02-04 07:00:00","2025-02-04 08:00:00",0.001,1900015119183,19L3542545
234,"2025-02-04 06:00:00","2025-02-04 07:00:00",0.002,1900015119183,19L3542545
235,"2025-02-04 05:00:00","2025-02-04 06:00:00",0.237,1900015119183,19L3542545
236,"2025-02-04 04:00:00","2025-02-04 05:00:00",0.455,1900015119183,19L3542545
237,"2025-02-04 03:00:00","2025-02-04 04:00:00",0.452,1900015119183,19L3542545
238,"2025-02-04 02:00:00","2025-02-04 03:00:00",1.225,1900015119183,19L3542545
239,"2025-02-04 01:00:00","2025-02-04 02:00:00",7.293,1900015119183,19L3542545
240,"2025-02-04 00:00:00","2025-02-04 01:00:00",7.163,1900015119183,19L3542545
241,"2025-02-03 23:00:00","2025-02-04 00:00:00",0.944,1900015119183,19L3542545
242,"2025-02-03 22:00:00","2025-02-03 23:00:00",0.003,1900015119183,19L3542545
243,"2025-02-03 21:00:00","2025-02-03 22:00:00",0.011,1900015119183,19L3542545
244,"2025-02-03 20:00:00","2025-02-03 21:00:00",0.004,1900015119183,19L3542545
245,"2025-02-03 19:00:00","2025-02-03 20:00:00",0.003,1900015119183,19L3542545
246,"2025-02-03 18:00:00","2025-02-03 19:00:00",0.003,1900015119183,19L3542545
247,"2025-02-03 17:00:00","2025-02-03 18:00:00",0.004,1900015119183,19L3542545
248,"2025-02-03 16:00:00","2025-02-03 17:00:00",0.004,1900015119183,19L3542545
249,"2025-02-03 15:00:00","2025-02-03 16:00:00",0.004,1900015119183,19L3542545
250,"2025-02-03 14:00:00","2025-02-03 15:00:00",0.003,1900015119183,19L3542545
251,"2025-02-03 13:00:00","2025-02-03 14:00:00",0.006,1900015119183,19L3542545
252,"2025-02-03 12:00:00","2025-02-03 13:00:00",0.006,1900015119183,19L3542545
